BARCODE;NAMEKH;NAMEEN;NOTE;COST;VENDORID
8858994456295;គូល័រផាត់ថ្ពាល់  Sivanna Colors;Cheek color  Sivanna Colors;Item No: HF3033;2.5000;4
4902430412988;សាប៊ូកក់ការពារសក់ជ្រុះ;Hair Loss Shampoo;410 ml;2.3299;4
4902430884945;សាប៊ូកក់ជំនួយសក់  shampoo;Hair Shampoo  shampoo;410 ml;2.3299;4
4902430412964;សាប៊ូកក់ការពារសក់ខូច;Shampoo to protect damaged hair;410 ml;2.3299;4
8858831008427;សេរ៉ូមលាបមុខការពារ  ភាពចាស់ Vtamin E;Protective face serum  Aging Vtamin E;30 ml;3.0803;4
8855492344550;សេរ៉ូមលាបមុខជំនួយ  ស្បែក & បំបាត់ស្នាមជ្រួញ;Auxiliary face serum  Skin & Wrinkle Removal;50 ml;2.5000;4
8850722690797;ជែលលាបបបូរមាត់;Lip Gel;9 ml;0.4870;4
8850434020158;ម៉ាស្ការ៉ាផាត់រោមភ្នែក  mascara;Eyelash mascara  mascara;9.2​ g;3.1944;4
8859178718093;អាយលែន័រ  Mistine (super black  fixed liner);Islander  Mistine (super black  fixed liner);N/A;0.3749;4
8850722068848;ជែលលាបបបូរមាត់;Lip Gel;9 ml;0.4308;4
8859159202252;សាប៊ូដុសខ្លួនក្លិនក្រូច;Orange body soap;150 g;0.4722;4
8859159202955;សាប៊ូដុសខ្លួនក្លិនអំពិល;Tamarind Body Soap;150 g;0.5066;4
8859159203075;សាប៊ូពពែដុសខ្លួន;Goat Body Soap;150 g;0.4861;4
8859159202948;សាប៊ូទឹកដោះគោដុសខ្លួន;Body Shampoo;150 g;0.4722;4
TF2580;កាហ្វេយិនស៊ិន  ZULIAN instant coffee;Ginseng Coffee  ZULIAN instant coffee;800 g;13.2879;4
TF2581;កាហ្វេយិនស៊ិនកញ្ចប់ធំ  ZULIAN coffee;Ginseng Coffee Large Pack;1680 g;25.8399;4
8859174500845;កាហ្វេសំរករាង  រសជាតិយ៉ិនស៊ិន;Slimming coffee  Ginseng flavor;150 g;2.8333;4
8858883566265;ខ្មៅដៃគូសចិញ្ចើម  ASHLEY;Black Eyebrow Pencil  ASHLEY;N/A;0.3318;4
