161;3092718629052;MATHIEU TEISSEIRE OKINAWA BLACK SUGAR SYRUP 700ML;ANNAM CAMBODIA COMPANY;100-015;6;2024-10-30;RETURN;G05B-C05-L1;90
162;8859287400025;MCCORMICK BBQ sauce (grill mates brown sugar) 500g;ANNAM CAMBODIA COMPANY;100-015;3;2024-09-26;RETURN;Side Stack-L1;90
163;8859287400032;MCCORMICK BBQ sauce (grill mates chilli&pepper) 500g;ANNAM CAMBODIA COMPANY;100-015;4;2024-10-20;RETURN;Side Stack-L1;90
164;8859287400018;MCCORMICK BBQ sauce (grill mates vintage smokehouse) 500g;ANNAM CAMBODIA COMPANY;100-015;18;2025-01-04;RETURN;Side Stack-L2;90
165;52100746043;MCCORMICK pepper corn medley grinder 24g;ANNAM CAMBODIA COMPANY;100-015;1;2026-08-30;RETURN;G01B-C05-L4;90
166;52100030265;MCCORMICK spice (black pepper corn grinder) 28g;ANNAM CAMBODIA COMPANY;100-015;12;2025-06-17;RETURN;G01B-C05-L4;90
167;3092719700422;MINT BARMAN SYRUB 700ML;ANNAM CAMBODIA COMPANY;100-015;5;2024-11-30;RETURN;G05B-C05-L1;90
168;3077318003327;MUSTARD DIJON CLOVIS 200g;ANNAM CAMBODIA COMPANY;100-015;23;2025-02-16;RETURN;G03A-C01-L3;90
169;3077312932098;MUSTARD OLD FASHIONED CIDER VINAGRE 200g;ANNAM CAMBODIA COMPANY;100-015;4;2024-04-03;RETURN;G03A-C01-L3;90
170;3077310932090;MUSTARD WALNUT CLOVIS 200g;ANNAM CAMBODIA COMPANY;100-015;4;2024-06-18;RETURN;G03A-C01-L3;90
171;4014400904253;NIMM2 fruitgums (smile gummi minis with vitamins) 210g;ANNAM CAMBODIA COMPANY;100-015;2;2024-07-14;RETURN;G07B-C08-L2;90
172;522561;NUTMEG GROUND 31g;ANNAM CAMBODIA COMPANY;100-015;8;2024-08-05;RETURN;G01B-C05-L6;90
